Estimated owners,Peak CCU,Required age,Price,DLC count,Supported languages,Full audio languages,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Multiplayer,Genres
7,7571,0,59.99,15,16,6,1,0,0,0,0,122539,15095,178,126316,1,1
0,0,0,3.99,0,1,1,1,0,0,0,0,2,17,0,0,0,4
0,0,0,3.99,0,1,0,1,0,0,0,0,6,4,0,0,0,4
0,0,0,4.99,0,1,0,1,0,0,0,0,10,0,12,0,0,2
1,0,0,0.99,0,1,1,1,0,0,0,0,0,1,0,0,0,2
4,1,0,2.99,0,1,1,1,0,0,0,0,283,92,0,0,0,3
0,0,0,9.99,0,22,2,1,1,0,0,0,7,2,14,0,0,1
1,16,0,19.99,0,2,2,1,0,0,0,0,328,253,0,563,1,6
0,0,0,0.99,0,1,1,1,0,0,0,0,8,0,0,0,0,2
5,49,17,3.49,0,1,1,1,0,0,89,0,9516,1114,0,8684,0,1
1,0,0,6.99,0,4,0,1,0,0,0,0,1,0,0,0,0,3
0,0,0,7.49,0,1,0,1,1,1,0,0,17,0,13,0,0,3
0,8,0,29.99,3,6,0,1,1,0,0,0,180,27,0,185,1,2
0,0,0,1.99,0,1,0,1,0,0,0,0,0,0,0,0,1,4
5,133,0,2.99,1,6,0,1,1,1,0,0,11739,367,35,11287,0,2
0,0,0,5.99,0,1,0,1,0,0,0,0,0,0,0,0,0,2
0,1,0,19.99,1,1,1,1,0,0,0,0,51,6,14,0,0,2
0,0,0,4.99,0,2,0,1,0,1,0,0,1,0,12,0,0,2
0,0,0,4.24,0,1,1,1,0,0,0,0,7,2,0,0,1,6
0,0,0,0,0,1,0,1,1,0,0,0,4,6,10,0,0,5
0,1,0,9.99,0,1,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0.49,0,1,1,1,0,0,0,0,31,13,0,0,0,3
0,0,0,19.99,0,3,0,1,0,0,0,0,0,0,0,0,0,2
1,1,0,14.99,0,2,0,1,0,1,0,0,69,0,24,0,1,4
1,0,0,3.99,0,1,1,1,0,0,0,0,10,26,0,0,0,3
0,0,0,3.99,0,1,1,1,0,0,0,0,15,3,12,0,1,4
0,2,0,4.99,0,6,2,1,0,0,0,0,20,4,0,0,0,4
0,0,0,4.99,0,1,1,1,0,0,0,0,1,0,0,0,1,2
0,0,0,0.49,0,1,0,1,0,0,0,0,1,2,0,0,0,6
0,2,0,14.99,1,2,0,1,0,0,0,0,168,18,0,179,0,1
0,6,0,0,0,1,0,1,0,0,0,0,102,32,7,0,1,4
1,2,0,14.99,1,2,0,1,0,0,70,0,207,98,159,102,0,4
1,0,0,4.99,1,7,0,1,0,0,0,0,12,0,46,0,1,4
0,0,18,1.19,0,1,0,1,0,0,0,0,0,0,3,0,0,2
0,0,0,0,0,1,1,1,0,0,0,0,44,9,0,0,1,5
4,358,0,23.99,11,6,2,1,0,0,0,0,4278,491,0,3874,1,3
0,0,0,0,0,1,0,1,0,0,0,0,35,11,0,0,0,3
0,0,0,0,0,9,2,1,0,0,0,0,0,0,7,0,0,5
7,7507,0,24.99,2,4,4,1,1,1,86,0,82902,3014,45,80467,0,2
0,1,0,6.99,0,1,0,1,0,0,0,0,1,1,0,0,0,2
0,1,0,9.99,0,1,1,1,0,0,0,0,12,0,25,0,0,5
0,1,0,13.99,0,6,2,1,0,0,0,0,245,70,9,293,0,2
1,0,0,9.99,0,1,0,1,0,0,0,0,50,0,8,0,0,4
1,0,0,0.99,1,2,0,1,0,0,0,0,82,26,199,0,0,3
0,0,0,14.99,1,1,1,1,0,0,0,0,288,28,0,228,1,4
0,0,0,0.49,1,1,0,1,1,1,0,0,61,16,18,0,0,2
0,0,0,3.99,0,1,0,1,0,0,0,0,8,16,11,0,0,2
0,0,0,5.39,0,11,0,1,0,0,0,0,0,0,2,0,0,2
0,0,10,9.99,0,5,0,1,0,0,0,0,3,0,19,0,0,3
2,0,0,0,0,1,1,1,0,0,0,0,124,132,0,0,1,3
0,0,0,1.99,0,8,8,1,1,1,0,0,8,0,19,0,0,2
5,0,0,0,0,1,1,1,0,0,0,0,12,6,0,0,0,4
0,0,0,0.99,0,1,0,1,0,0,0,0,17,17,80,0,0,4
5,54,0,19.99,0,1,1,1,0,0,0,0,4181,806,42,4195,1,2
4,0,0,2.99,0,1,0,1,0,0,0,0,164,95,0,0,0,1
0,0,0,19.99,0,1,0,1,0,0,0,0,0,1,0,0,0,3
0,0,0,3.99,0,2,0,1,0,0,0,0,2,8,5,0,0,2
6,70,0,44.99,167,10,4,1,0,0,0,0,3075,6009,44,5946,1,1
3,0,0,9.99,0,7,2,1,1,1,40,0,245,130,34,226,1,1
0,0,0,7.99,0,8,0,1,1,1,0,0,21,1,9,0,0,2
2,44,0,16.24,17,11,0,1,0,0,87,0,2108,111,11,1996,1,4
0,0,0,1.99,0,2,0,1,1,1,0,0,80,50,19,0,0,4
4,8,0,0.99,0,5,0,1,0,0,0,0,2083,481,12,171,0,2
0,3,0,0.99,0,1,0,1,1,0,0,0,242,27,40,259,0,5
0,0,0,9.99,0,1,0,1,0,0,0,0,6,2,61,0,1,7
0,0,0,9.99,0,1,0,1,0,0,0,0,53,11,0,0,0,3
1,0,0,0.49,0,1,0,1,0,0,0,0,1,3,0,0,0,3
0,0,0,9.99,0,1,0,1,0,1,0,0,1,0,27,0,0,4
6,1457,0,3.99,2,21,2,1,1,0,0,0,41425,3672,74,34613,1,1
0,2,0,29.99,0,1,1,1,0,0,0,0,26,24,21,0,1,2
0,0,0,5.99,0,3,0,1,0,0,0,0,14,2,22,0,0,6
0,0,0,0.99,0,9,0,1,1,1,0,0,68,3,17,0,0,5
0,0,0,9.99,3,1,0,1,1,1,0,0,6,0,35,0,0,4
0,2,0,7.99,0,9,0,1,0,0,0,0,79,29,16,0,1,3
0,0,0,9.99,0,1,1,1,0,0,0,0,0,0,7,0,0,2
0,1,0,1.99,0,1,0,1,1,1,0,0,25,7,0,0,0,2
0,0,0,2.99,0,1,0,1,0,0,0,0,15,1,0,0,0,1
6,495,17,9.99,0,5,0,1,1,0,92,0,16788,1211,0,13997,1,1
0,0,0,1.99,0,1,0,1,1,0,0,0,9,4,0,0,0,4
1,0,0,4.99,0,5,0,1,0,0,0,0,33,15,12,0,1,2
0,0,0,5.99,0,2,2,1,0,0,0,0,72,43,0,0,0,1
0,0,0,10.99,0,1,1,1,0,0,0,0,10,10,6,0,0,2
1,22,0,0.49,0,2,0,1,1,0,0,0,68,20,0,0,0,1
3,0,0,9.99,0,1,1,1,1,1,0,0,2,0,0,0,0,1
0,0,0,4.99,0,1,0,1,0,0,0,0,26,0,28,0,0,2
0,0,0,19.99,0,5,2,1,0,0,0,0,16,0,38,0,1,4
0,0,0,9.99,0,4,0,1,0,0,0,0,11,9,0,0,0,2
0,15,0,4.99,0,1,1,1,0,0,0,0,69,2,0,0,0,2
0,0,0,2.99,0,1,0,1,0,0,0,0,1,0,0,0,0,4
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4
0,0,0,9.99,0,5,2,1,0,0,0,0,15,11,6,0,0,4
0,0,0,0.99,0,1,1,1,0,0,0,0,73,15,0,0,0,3
5,61,0,14.99,0,18,0,1,0,0,0,0,20432,1120,14,19825,1,2
0,3,0,0.74,0,29,2,1,0,0,0,0,26,3,44,0,0,5
0,0,0,0.99,0,1,0,1,0,0,0,0,11,18,0,0,0,8
0,0,0,2.99,0,8,0,1,0,0,0,0,41,0,0,0,0,1
0,4,0,3.99,0,2,0,1,0,0,0,0,65,3,14,0,1,2
0,0,0,0.99,0,2,2,1,0,0,0,0,14,8,21,0,0,4
0,0,0,12.99,1,3,0,1,1,0,0,0,65,38,12,0,0,4
3,15,0,14.99,1,6,0,1,1,1,0,0,1640,145,30,1656,0,6
0,6,0,17.99,0,2,2,1,0,0,0,0,79,43,45,117,0,5
0,0,0,1.99,0,7,7,1,0,0,0,0,24,6,7,0,0,4
0,1,0,9.99,0,1,1,1,0,0,0,0,37,3,0,0,0,6
0,0,0,2.99,0,1,0,1,0,0,0,0,2,0,0,0,0,3
0,3,0,7.99,0,1,0,1,0,0,0,0,14,11,0,0,0,1
0,0,0,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,4
0,0,0,10.99,0,2,0,1,0,0,0,0,13,5,10,0,0,2
1,0,0,9.99,0,3,2,1,0,0,0,0,10,1,20,0,0,2
0,0,0,1.99,0,1,0,1,0,0,0,0,14,2,0,0,0,1
0,0,0,0.99,0,1,0,1,0,0,0,0,3,3,7,0,0,3
0,0,0,3.99,0,1,0,1,0,0,0,0,2,1,0,0,0,3
0,0,0,2.99,0,1,0,1,1,0,0,0,8,1,111,0,1,4
0,0,0,7.99,0,1,1,1,0,0,0,0,5,0,16,0,0,1
0,4,0,12.99,0,5,0,1,1,0,76,0,332,33,43,317,1,3
1,2,0,24.99,0,11,2,1,0,0,51,0,420,147,16,377,0,2
0,1,0,14.99,0,1,0,1,0,1,0,0,33,1,0,0,0,3
0,0,0,1.99,0,1,1,1,0,1,0,0,5,2,0,0,0,3
0,0,0,0.74,0,9,0,1,0,0,0,0,12,5,0,0,0,3
0,0,0,9.99,0,1,0,1,0,0,0,0,1,0,0,0,1,3
0,0,0,0.99,0,1,0,1,0,0,0,0,3,1,7,0,0,2
1,2,0,0,0,1,1,1,0,1,0,0,58,13,0,0,1,4
4,4,0,0,0,1,1,1,0,0,0,0,1078,440,0,0,0,4
0,1,0,3.99,0,8,0,1,0,0,0,0,0,0,8,0,0,3
0,0,0,0.99,0,1,0,1,0,0,49,0,5,4,0,0,0,2
0,0,0,3.99,0,1,1,1,0,0,0,0,5,0,13,0,0,4
2,91,13,39.99,13,2,2,1,0,0,81,0,2113,125,51,1992,0,1
1,0,0,12.99,0,1,0,1,0,0,0,0,2,1,0,0,0,1
0,0,0,0.99,0,1,1,1,0,0,0,0,1,2,0,0,0,2
0,0,0,4.2,0,1,0,1,0,0,0,0,5,13,0,0,0,8
1,0,0,4.99,0,1,0,1,0,0,0,0,185,28,38,156,0,5
0,0,0,3.99,0,1,0,1,0,0,0,0,8,0,9,0,0,2
0,0,0,0,0,3,0,1,0,0,0,0,14,17,0,0,0,2
0,0,0,11.99,0,1,1,1,0,0,0,0,0,0,0,0,0,6
0,1,0,4.99,0,1,1,1,0,0,0,0,7,9,0,0,0,4
0,3,0,19.99,1,2,0,1,0,0,0,0,115,73,6,122,1,3
0,0,0,0.99,0,5,0,1,0,0,0,0,0,0,24,0,0,2
0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,1,5
0,0,0,16.99,0,2,0,1,0,0,0,0,7,8,0,0,0,5
0,0,0,6.99,2,1,0,1,0,0,0,0,8,0,16,0,0,4
0,1,0,12.59,0,9,2,1,0,0,0,0,71,9,21,0,0,3
0,0,0,5.99,0,1,1,1,0,0,0,0,0,1,0,0,1,4
0,0,0,7.99,0,1,0,1,0,0,0,0,20,1,0,0,1,4
0,1,0,0.99,0,1,0,1,0,0,0,63,54,29,0,205,0,2
4,3,0,0.69,3,12,3,1,1,1,69,0,646,544,26,604,0,3
1,1,0,8.99,1,1,1,1,0,0,0,0,138,22,64,0,0,3
0,0,0,2.39,0,2,0,1,0,0,0,0,0,0,27,0,0,5
1,17,0,29.99,9,7,2,1,0,0,72,0,900,126,50,735,1,3
0,0,0,4.99,1,1,0,1,0,0,0,0,41,8,11,0,0,2
0,0,0,10.99,0,1,0,1,1,0,0,0,1,0,0,0,0,3
1,0,0,4.99,1,3,0,1,0,1,0,0,61,15,6,0,0,3
0,0,0,0.99,0,2,0,1,0,0,0,0,11,1,8,0,0,4
2,0,0,4.99,0,1,0,1,1,0,0,0,1,1,0,0,1,3
0,1,0,17.99,0,6,3,1,0,0,0,0,94,107,44,101,0,1
0,0,0,9.99,0,1,1,1,1,0,0,0,7,0,17,0,1,5
0,0,0,1.99,0,1,0,1,0,0,0,0,13,2,0,0,0,3
0,0,0,9.99,0,3,0,1,0,0,0,0,16,14,21,0,0,4
0,0,0,2.99,0,1,1,1,0,0,0,0,5,2,20,0,0,5
1,0,0,0,8,1,0,1,0,0,0,0,32,9,37,0,0,4
1,0,0,14.99,0,7,0,1,0,0,0,0,63,114,0,148,0,2
0,0,0,16.99,0,9,2,1,0,0,0,0,46,25,24,0,0,3
1,0,0,4.99,0,8,0,1,1,0,0,0,48,26,0,0,0,4
2,3,0,1.99,0,1,1,1,1,1,0,0,388,373,13,121,0,3
0,2,0,4.99,0,2,2,1,0,0,0,0,102,47,0,115,1,2
2,0,0,2.99,0,11,0,1,1,1,0,0,546,67,27,521,0,4
0,0,0,0.99,0,1,1,1,1,0,0,0,5,3,0,0,0,3
0,0,0,1.99,0,1,0,1,0,0,0,0,0,0,0,0,0,4
0,0,0,9.99,0,1,0,1,0,0,0,0,7,3,0,0,0,4
0,0,0,14.99,0,9,0,1,1,0,0,0,41,8,14,0,0,2
3,0,0,4.99,0,1,1,1,1,1,0,0,225,128,27,0,0,4
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
0,0,0,29.99,0,1,0,1,0,0,0,0,23,8,0,0,0,2
4,0,0,0,2,20,0,1,0,0,0,0,12,11,12,0,0,4
0,0,0,0.59,1,1,0,1,0,0,0,0,0,0,3,0,0,2
1,16,0,29.99,0,5,3,1,0,0,68,0,770,316,47,751,0,2
0,0,0,3.99,1,1,0,1,0,0,0,0,34,2,56,0,0,4
0,0,0,19.99,0,1,0,1,0,0,0,0,10,30,4,0,0,2
0,0,0,3.99,0,2,0,1,0,0,0,0,8,3,0,0,0,2
0,0,0,9.99,0,1,1,1,0,0,0,0,2,0,0,0,0,2
0,0,0,3.99,0,1,0,1,0,0,0,0,1,0,0,0,0,3
0,0,0,9.99,0,1,0,1,1,1,0,0,27,5,40,0,1,2
0,0,0,1.99,0,1,1,1,0,0,0,0,0,0,30,0,0,2
1,2,0,4.99,0,1,0,1,0,0,82,0,293,73,0,311,1,1
0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,4
0,4,0,6.99,1,2,2,1,0,0,0,0,116,2,24,0,0,3
0,0,0,4.99,0,7,0,1,1,1,0,0,24,0,0,0,0,5
0,3,0,4.99,0,1,0,1,1,0,0,0,152,25,0,160,1,5
1,0,0,19.99,0,1,0,1,0,0,0,0,9,9,0,0,0,1
0,0,0,9.99,0,2,0,1,1,0,0,0,3,0,0,0,0,3
5,395,0,9.99,10,5,5,1,1,0,0,0,3942,419,83,2753,1,3
0,0,0,7.99,0,5,5,1,0,0,0,0,10,0,15,0,0,4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,3
1,0,0,1.99,0,2,0,1,0,0,0,0,5,1,4,0,1,3
0,3,0,12.99,0,15,0,1,1,0,0,0,66,27,15,0,0,3
0,0,0,1.99,0,3,3,1,0,0,0,0,0,0,0,0,0,5
1,0,0,1.99,0,1,1,1,1,1,0,0,42,119,7,0,0,3
0,0,0,0,0,1,0,1,0,0,0,0,10,5,6,0,0,2
5,17,0,12.99,3,18,0,1,1,1,0,0,5491,477,31,5423,0,2
0,0,0,9.99,0,1,1,1,0,0,0,0,1,0,1,0,1,4
0,0,0,2.99,0,5,0,1,0,0,0,0,14,0,25,0,0,3
0,0,0,4.99,1,2,0,1,0,0,0,0,85,8,48,0,0,2
0,0,0,0,0,1,0,1,0,0,0,0,47,14,0,0,0,2
1,0,0,3.99,0,2,0,1,1,1,0,0,237,65,16,266,0,4
0,0,0,19.99,1,1,0,1,1,1,0,0,20,6,31,0,1,2
0,3,0,9.99,2,3,0,1,0,0,0,0,68,7,0,0,0,2
0,0,0,3.99,0,1,0,1,1,1,0,0,8,3,0,0,0,3
0,0,0,2.99,0,1,0,1,0,0,0,0,2,0,0,0,0,4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
0,0,0,2.99,0,2,0,1,1,1,0,0,25,5,0,0,0,2
0,0,0,0.99,0,1,0,1,1,1,0,0,1,2,0,0,0,6
0,0,0,9.99,0,2,2,1,1,1,0,0,24,0,22,0,0,3
0,0,0,9.99,0,1,0,1,1,0,0,0,35,2,0,0,0,2
0,0,0,3.99,1,2,0,1,0,0,0,0,5,0,20,0,0,3
0,0,0,1.99,0,1,0,1,0,0,0,0,14,3,16,0,0,3
0,0,0,0,0,1,1,1,1,0,0,0,57,3,0,0,0,3
0,0,0,0,0,1,1,1,0,0,0,0,35,5,0,0,0,2
0,0,0,1.99,2,2,0,1,1,1,0,0,47,0,7,0,0,3
0,0,0,6.99,0,4,2,1,0,0,0,0,83,1,0,0,0,1
0,0,0,2.69,0,7,0,1,0,0,0,0,59,7,9,0,0,3
0,0,0,7.99,0,3,2,1,0,0,0,0,22,16,100,0,1,4
0,0,0,3.99,0,9,0,1,0,0,0,0,25,5,0,0,0,4
0,0,0,0,0,1,1,1,0,0,0,0,17,3,0,0,1,3
0,0,0,14.99,0,1,1,1,0,0,0,0,6,14,0,0,0,4
0,0,0,49.99,0,1,1,1,0,0,0,0,1,5,0,0,1,4
4,5,0,2.99,0,1,0,1,1,1,0,0,1426,109,18,1284,0,2
0,0,0,1.99,0,1,1,1,0,0,0,0,0,0,0,0,0,4
0,0,0,4.99,0,15,0,1,0,0,0,0,1,2,0,0,0,1
0,0,0,2.99,0,2,0,1,0,0,0,0,18,0,0,0,0,3
0,0,0,14.99,1,1,1,1,0,0,0,0,3,0,12,0,0,1
0,0,0,2.99,0,2,0,1,1,1,0,0,5,0,39,0,0,1
0,0,0,9.99,0,29,0,1,1,1,0,0,11,1,6,0,0,5
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6
0,0,0,9.99,0,1,1,1,0,0,0,0,14,0,0,0,0,2
0,0,0,29.99,0,1,0,1,0,0,0,0,3,5,0,0,1,4
0,0,0,0.99,0,1,0,1,0,0,0,0,5,0,6,0,0,3
0,5,0,9.99,0,1,1,1,0,0,0,0,0,0,11,363,0,1
2,1,0,19.99,0,1,0,1,0,0,0,0,95,7,0,0,0,3
1,11,0,24.99,0,1,1,1,0,0,0,0,421,54,34,429,0,4
0,0,0,12.99,0,17,0,1,1,0,0,0,54,15,10,0,0,3
3,0,0,4.99,0,1,0,1,1,0,0,0,250,71,10,122,0,2
0,0,0,1.99,0,1,1,1,0,0,0,0,2,0,0,0,0,3
0,0,0,9.99,0,1,1,1,0,1,0,0,15,0,21,0,1,3
0,1,0,11.99,0,1,1,1,0,0,0,0,16,7,28,0,1,3
1,0,0,4.99,0,1,0,1,0,0,0,0,106,74,0,124,0,2
0,2,0,9.99,0,6,0,1,0,0,0,0,35,42,20,0,1,1
0,0,0,7.99,1,4,0,1,0,0,0,0,3,0,0,0,1,4
0,0,0,9.99,0,1,1,1,0,0,0,0,9,1,0,0,0,4
0,0,0,1.99,0,1,0,1,0,0,0,0,1,0,0,0,0,4
0,0,0,0.99,0,1,0,1,1,1,0,0,2,0,0,0,0,3
0,1,0,12.99,0,1,0,1,0,1,0,0,12,0,20,0,0,2
0,2,0,19.99,0,1,1,1,0,1,0,0,52,32,0,0,0,4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
2,0,0,0.99,0,1,0,1,0,0,0,0,57,72,0,0,0,2
1,0,0,0,0,1,1,1,0,0,0,0,351,19,0,0,0,3
0,0,0,7.99,0,1,1,1,0,0,0,0,9,8,0,0,0,5
2,4,0,0,0,1,1,1,1,1,0,0,189,54,25,0,1,4
0,0,0,19.99,0,12,2,1,0,0,0,0,15,9,0,0,0,4
0,0,0,2.99,0,1,1,1,0,0,0,0,1,0,7,0,1,3
1,0,0,0,0,1,1,1,0,0,0,0,49,15,0,0,0,2
0,0,0,2.99,0,3,0,1,0,0,0,0,19,3,8,0,0,2
0,3,0,7.99,0,1,1,1,1,0,0,0,205,15,30,203,1,2
0,0,0,1.99,0,1,1,1,0,1,0,0,1,0,0,0,1,2
0,0,0,2.99,0,6,6,1,0,0,0,0,5,5,0,0,1,5
0,2,0,12.99,0,1,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0.99,0,1,1,1,0,0,0,0,15,15,0,0,0,3
0,0,0,1.49,0,1,0,1,0,0,0,0,0,2,0,0,1,2
0,0,0,9.99,0,1,0,1,0,0,0,0,33,3,26,0,0,2
1,9,0,6.99,0,1,1,1,0,0,59,0,98,32,0,111,0,3
4,570,0,3.99,1,11,0,1,0,0,0,0,2461,336,1,2619,0,1
0,0,0,2,0,1,0,1,0,0,0,0,4,0,0,0,0,4
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0.99,0,1,1,1,0,0,0,0,5,1,0,0,0,3
2,1,0,4.99,3,2,1,1,0,0,0,0,654,277,52,775,0,3
0,0,0,0,3,1,0,1,0,0,0,0,3,3,0,0,0,4
0,7,0,9.99,0,1,0,1,0,0,0,0,58,12,0,0,0,2
0,0,0,0.99,0,3,0,1,0,1,0,0,14,0,11,0,0,3
0,1,0,3.99,0,6,0,1,0,0,0,0,27,9,0,0,0,4
3,7,0,19.99,0,5,4,1,1,1,77,0,1079,268,60,1011,1,3
1,0,0,6.99,0,1,1,1,0,0,0,0,131,28,0,0,1,1
0,0,0,0.99,0,1,0,1,0,0,0,0,0,0,10,0,0,2
4,0,0,0.99,0,2,0,1,0,0,0,0,11,7,18,0,0,2
0,0,0,2.99,0,1,1,1,0,0,0,0,1,2,6,0,0,2
0,0,0,11.99,1,4,0,1,0,0,0,0,22,2,14,0,1,1
0,0,0,1.99,0,4,0,1,1,1,0,0,31,6,17,0,0,2
1,0,0,0,0,1,1,1,0,0,0,0,12,4,0,0,1,4
0,2,0,5.99,0,1,1,1,0,0,0,0,0,0,15,0,0,2
0,0,0,3.99,4,11,0,1,0,0,0,0,1,0,0,0,0,3
0,0,0,0,0,1,1,1,0,0,0,0,15,13,0,0,0,3
0,0,0,2.99,0,1,0,1,1,0,0,0,5,1,6,0,0,3
0,0,0,9.99,0,2,2,1,0,0,0,0,0,0,0,0,0,1
0,0,0,4.99,0,1,0,1,1,0,0,0,30,3,22,0,0,3
0,0,0,1.99,0,29,29,1,0,0,0,0,3,2,100,0,0,2
0,1,0,19.99,0,1,1,1,0,0,0,0,0,1,0,0,1,2
0,0,0,7.99,0,1,0,1,1,0,0,0,29,3,8,0,0,1
1,13,0,3.99,0,29,0,1,1,0,0,0,409,31,13,430,0,2
0,0,0,0.99,0,5,2,1,0,0,0,0,30,7,12,0,0,2
1,36,0,0.51,0,1,0,1,0,0,0,0,44,15,6,0,0,5
0,0,0,0,0,1,1,1,0,0,0,0,49,16,0,0,0,4
0,0,0,14.99,0,5,2,1,0,0,0,0,15,42,25,0,0,4
0,0,18,9.99,0,1,1,1,0,0,0,0,3,0,0,0,0,3
2,2,0,19.99,3,11,2,1,1,0,0,0,319,93,17,320,0,2
0,0,0,2.99,0,2,0,1,0,0,0,0,8,2,4,0,0,2
0,0,0,2.99,0,3,0,1,1,0,0,0,50,9,20,0,0,2
1,0,0,0,0,1,0,1,0,0,0,0,48,8,17,0,0,5
2,4,0,14.99,0,1,0,1,0,0,0,0,573,209,12,654,0,2
1,1,0,3.99,0,2,0,1,0,0,0,0,846,99,16,864,0,2
4,17,0,0.99,0,1,1,1,0,0,0,0,2535,248,0,2186,1,2
0,0,0,0,0,1,0,1,0,0,0,0,11,10,0,0,0,5
